                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.6697,                0.38092,                0.97196,                 0.9684,                      1,                0.97552,                0.87124,                0.47263,                0.28606,                0.85751,             0.00042925,             0.00042925,             0.00042925
                     78,                0.65288,                0.37711,                0.96623,                0.96839,                      1,                0.97099,                0.86834,                0.48193,                0.28927,                0.86248,             0.00041275,             0.00041275,             0.00041275
                     79,                0.65042,                0.36621,                0.95842,                0.96839,                      1,                0.96793,                 0.8702,                0.48411,                0.29464,                0.86542,             0.00039625,             0.00039625,             0.00039625
                     80,                0.64873,                0.37594,                0.96056,                0.96838,                      1,                0.96686,                0.86459,                0.48449,                0.29114,                0.85919,             0.00037974,             0.00037974,             0.00037974
                     81,                0.63989,                0.36063,                0.95043,                0.96838,                      1,                0.96438,                0.86626,                0.47355,                0.27914,                0.85896,             0.00036324,             0.00036324,             0.00036324
                     82,                0.64035,                0.36063,                0.96586,                0.96838,                      1,                0.96874,                0.86333,                0.47542,                 0.2728,                0.86268,             0.00034674,             0.00034674,             0.00034674
                     83,                 0.6784,                 0.3765,                0.99268,                0.96836,                      1,                0.96951,                0.85864,                0.48433,                0.28403,                0.86381,             0.00033023,             0.00033023,             0.00033023
                     84,                0.65438,                0.36448,                0.96341,                0.96839,                      1,                0.97372,                0.85564,                0.49267,                0.27785,                0.86262,             0.00031373,             0.00031373,             0.00031373
                     85,                0.67078,                0.38049,                 0.9725,                0.96838,                      1,                0.96771,                0.85238,                0.49047,                0.27973,                0.86393,             0.00029723,             0.00029723,             0.00029723
                     86,                0.61811,                0.35448,                0.94264,                0.96839,                      1,                0.96794,                0.85943,                0.48312,                0.28013,                0.86294,             0.00028072,             0.00028072,             0.00028072
                     87,                0.68273,                0.37613,                0.99085,                0.96837,                      1,                0.96438,                0.86387,                0.48917,                0.27452,                0.86191,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.6439,                0.36093,                0.97087,                0.96837,                      1,                0.96678,                0.86573,                0.48727,                0.27269,                0.86129,             0.00024772,             0.00024772,             0.00024772
                     89,                0.62583,                0.35774,                 0.9512,                0.96838,                      1,                0.96634,                0.86711,                0.48958,                0.27076,                0.86038,             0.00023121,             0.00023121,             0.00023121
                     90,                0.64598,                0.35861,                0.96255,                0.96839,                      1,                0.96438,                0.86792,                0.47867,                0.26471,                0.85782,             0.00021471,             0.00021471,             0.00021471
                     91,                0.63483,                0.35354,                0.95514,                0.96839,                      1,                0.96563,                0.87028,                0.47427,                0.26668,                 0.8566,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.6299,                0.35342,                0.95158,                0.96837,                      1,                 0.9668,                0.87157,                0.47634,                0.27487,                 0.8572,              0.0001817,              0.0001817,              0.0001817
                     93,                 0.6204,                0.34093,                0.94183,                0.96839,                      1,                0.96688,                 0.8662,                0.47933,                0.26561,                 0.8593,              0.0001652,              0.0001652,              0.0001652
                     94,                0.60563,                0.33472,                0.93774,                 0.9684,                      1,                0.97135,                0.86529,                0.47782,                0.26219,                0.85881,              0.0001487,              0.0001487,              0.0001487
                     95,                 0.6061,                0.32975,                0.92495,                0.96837,                      1,                0.96764,                0.86306,                0.47899,                0.26723,                0.85793,             0.00013219,             0.00013219,             0.00013219
                     96,                0.59649,                0.33376,                0.92947,                0.96836,                      1,                0.96645,                 0.8727,                0.47989,                0.27202,                0.85653,             0.00011569,             0.00011569,             0.00011569
                     97,                0.59028,                0.33098,                0.92664,                0.96838,                      1,                0.96438,                0.86439,                0.48091,                0.26764,                0.85561,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.60704,                0.32747,                0.93788,                0.96839,                      1,                0.96391,                0.86154,                0.47603,                0.26685,                0.85493,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.60571,                0.31794,                0.94298,                 0.9684,                      1,                0.96391,                0.86329,                0.47244,                0.26517,                0.85456,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.58678,                0.31682,                0.92812,                0.96839,                      1,                0.96391,                0.86228,                0.46824,                0.26117,                0.85435,             4.9677e-05,             4.9677e-05,             4.9677e-05
